batch	files	seconds
batch-1	50-1	6.00
batch-2	100-51	5.00
batch-3	150-101	5.00
batch-4	200-151	5.00
batch-5	250-201	5.00
batch-6	300-251	5.00
batch-7	350-301	5.00
batch-8	400-351	4.00
batch-9	450-401	5.00
batch-10	500-451	4.00
batch-11	550-501	5.00
batch-12	600-551	4.00
batch-13	650-601	5.00
batch-14	700-651	6.00
batch-15	750-701	4.00
batch-16	800-751	6.00
batch-17	850-801	5.00
batch-18	900-851	3.00
batch-19	950-901	2.00
batch-20	1000-951	2.00
batch-21	1050-1001	3.00
batch-22	1100-1051	4.00
batch-23	1150-1101	4.00
batch-24	1200-1151	4.00
batch-25	1250-1201	5.00
batch-26	1300-1251	5.00
batch-27	1350-1301	6.00
batch-28	1400-1351	5.00
batch-29	1450-1401	7.00
batch-30	1500-1451	5.00
batch-31	1550-1501	6.00
batch-32	1600-1551	6.00
batch-33	1650-1601	6.00
batch-34	1700-1651	6.00
batch-35	1750-1701	6.00
batch-36	1800-1751	6.00
batch-37	1850-1801	6.00
batch-38	1900-1851	6.00
